transaction_id,transaction_date,county,suburb,sales_channel,payment_method,sku,product_name,supplier_id,supplier_name,stock_on_hand_before,quantity_sold,stock_on_hand_after,stockout_flag,reorder_point,reorder_qty,supplier_lead_time_days,supplier_on_time_rate,unit_cost_kes,unit_price_kes,vat_rate,discount_kes,gross_sales_kes,vat_kes,net_sales_kes,note,branch_code
88bf880f,2025-03-01,Kiambu,CBD,Hotel/Restaurant,Bank Transfer,COIL-1L,Sunflower Oil 1L,SUP-001,Unga Suppliers Ltd,165,7,158,0,62,121,3,0.729,338.75,403.17,0.16,4.93,2822.17,451.55,3268.79,,NRB-01
b3f7e519,30/07/2025,Nairobi,CBD,School/CBO ,Cash,LENT-1KG,Red Lentils 1kg,SUP-004,Rift Valley Wholesale,236,10,226,0,38,152,3,0.846,385.47,456.59,0.0,2.81,4565.88,0.0,4563.07,,NRB-01
8a71892f,2025-05-03,Machakos,Athi River,Supermarket,15-day Credit,COIL-1L,Sunflower Oil 1L,SUP-004,Rift Valley Wholesale,213,8,205,0,43,314,6,0.94,303.86,378.44,0.0,6.94,3027.55,0.0,3020.61,,KBU-01
c3b04dd5,31/05/2025,Kiambu,CBD,School/CBO,Bank Transfer,TEA-250G,Black Tea 250g,SUP-001,Unga Suppliers Ltd,201,8,193,0,53,162,6,0.962,237.14,288.32,0.16,0.0,2306.57,369.05,2675.62,,NRB-01
fcfd7d96,04-09-2025,Kajiado,CBD,WHOLESALER ,30-day credit,SODA-500ML,Soda 500ml,SUP-002,Juja Foods Distributors,143,12,131,0,56,306,6,0.872,55.54,64.28,0.16,6.01,771.4,123.42,888.81,,NRB-02
b8a481d6,05-08-2025,Nairobi,Donholm,Kiosk  ,30-DAY CREDIT,COIL-1L,Sunflower Oil 1L,SUP-002,Juja Foods Distributors,196,13,183,0,59,227,3,0.877,309.54,345.39,0.16,0.0,4490.05,718.41,5208.45,,NRB-01
b8a481d6,06-06-2025,Nairobi,Lang'ata,Kiosk,30-day credit,COFF-250G,Ground Coffee 250g,SUP-004,Rift Valley Wholesale,121,2,119,0,71,271,10,0.853,368.13,414.04,0.0,0.0,828.07,0.0,828.07,,MKS-01
6a04fc54,2025-04-03,Machakos,Lang'ata,Supermarket  ,M-Pesa,SODA-500ML,Soda 500ml,SUP-004,Rift Valley Wholesale,169,6,163,0,31,319,4,0.921,59.38,67.69,0.16,0.0,406.17,64.99,471.15,,NRB01
5f0f7fc9,24-Jul-2025,Machakos,Donholm,school/cbo,BANK TRANSFER,BIS-200G,Biscuits 200g,SUP-002,Juja Foods Distributors,201,10,191,0,49,351,2,0.791,126.08,153.78,0.16,11.74,1537.81,246.05,1772.12,,MKS-01
a7c64153,23-Jul-2025,Kiambu,Lang'ata,hotel/restaurant,M-Pesa,SUGAR-2KG,Brown Sugar 2kg,SUP-001,Unga Suppliers Ltd,204,9,195,0,78,101,7,0.911,358.96,438.86,0.0,13.39,3949.72,0.0,3936.33,,nrb-03
7700f850,22-Mar-2025,Nairobi,Eastleigh,Wholesaler ,CASH,COIL-1L,Sunflower Oil 1L,SUP-001,Unga Suppliers Ltd,311,11,300,0,65,260,5,0.9,299.6,359.37,0.0,3.42,3953.09,0.0,3949.67,,MKS-01
c0700500,14-May-2025,Kajiado,Eastleigh,wholesaler ,30-day credit,LENT-1KG,Red Lentils 1kg,SUP-002,Juja Foods Distributors,177,13,164,0,34,246,7,0.928,368.36,442.15,0.0,0.0,5748.01,0.0,5748.01,,MKS-01
fc7f081a,15/02/2025,Nairobi,Kasarani,Kiosk,M-PESA,BEANS-2KG,Rosecoco Beans 2kg,SUP-003,Coastal Agro Traders,60,11,49,0,60,153,4,0.944,399.23,455.23,0.16,0.0,5007.53,801.2,5808.73,,KBU-01
f508b6ee,07-18-2025,Nairobi,Donholm,Supermarket ,15-day credit,EGGS-30,Eggs Tray 30s,SUP-005,Kiambu Fresh Foods,305,15,290,0,52,242,3,0.883,544.82,652.42,0.08,16.72,9786.25,782.9,10552.43,,NRB-02
9fad2f21,06-18-2025,Nairobi,Industrial Area,school/cbo ,15-day Credit,MF-2KG,Maize Flour 2kg,SUP-004,Rift Valley Wholesale,167,8,159,0,68,295,6,0.873,211.25,242.72,0.0,11.55,1941.77,0.0,1930.22,,MKS-01
b7cee4b1,09/04/2025,Nairobi,CBD,SCHOOL/CBO ,Cash,SALT-1KG,Iodized Salt 1kg,SUP-001,Unga Suppliers Ltd,226,10,216,0,41,228,4,0.878,48.33,59.22,0.16,0.0,592.25,94.76,687.01,,nrb-03
c36b3381,24/04/2025,Nairobi,Westlands,wholesaler  ,Cash,RF-5KG,Rice 5kg,SUP-001,Unga Suppliers Ltd,179,9,170,0,76,193,3,0.931,909.51,1022.1,0.08,2.54,9198.93,735.91,9932.31,,NRB-01
1b7c7ffb,02-11-2025,Kajiado,CBD,School/CBO ,BANK TRANSFER,WATER-1L,Drinking Water 1L,SUP-005,Kiambu Fresh Foods,246,10,236,0,34,103,6,0.91,48.12,56.55,0.0,0.0,565.49,0.0,565.49,,MKS-01
f859dcb7,14/05/2025,Kiambu,Kasarani,Wholesaler ,M-Pesa,BREAD-800G,Brown Bread 800g,SUP-002,Juja Foods Distributors,216,13,203,0,55,363,3,1.0,84.25,92.91,0.16,13.61,1207.79,193.25,1387.42,,NRB-01
ebb86144,04-10-2025,Kajiado,Kasarani,SUPERMARKET ,Bank Transfer,LENT-1KG,Red Lentils 1kg,SUP-002,Juja Foods Distributors,141,10,131,0,47,195,6,0.886,377.67,471.55,0.08,6.19,4715.54,377.24,5086.6,,NRB-02
6a3734da,05/07/2025,Machakos,Donholm,Wholesaler  ,CASH,COIL-1L,Sunflower Oil 1L,SUP-005,Kiambu Fresh Foods,175,9,166,0,48,243,6,0.775,297.14,369.58,0.16,0.0,3326.18,532.19,3858.37,,MKS-01
1db08595,04-23-2025,Machakos,Thika Rd,HOTEL/RESTAURANT ,M-PESA,SODA-500ML,Soda 500ml,SUP-005,Kiambu Fresh Foods,173,11,162,0,73,352,4,0.983,59.12,71.14,0.08,0.0,782.52,62.6,845.12,check stock variance,KJD-01
f560aef6,26-May-2025,Machakos,Ruiru,KIOSK,30-DAY CREDIT,COFF-250G,Ground Coffee 250g,SUP-003,Coastal Agro Traders,288,11,277,0,55,118,3,0.899,392.66,460.29,0.16,7.03,5063.22,810.12,5866.3,,NRB01
f560aef6,2025-02-12,Kiambu,Westlands,KIOSK,BANK TRANSFER,LENT-1KG,Red Lentils 1kg,SUP-003,Coastal Agro Traders,139,11,128,0,45,312,5,0.904,356.33,434.84,0.16,0.0,4783.23,765.32,5548.54,,NRB01
