sale_id,date,store,product_id,product_name,qty,price
S100000,2025-02-03,Mombasa-Store,SKU0087,Product 78,2,11.13
S100001,2024-08-15,Kisumu Store,SKU0019,Product 26,4,11.84
S100002,2025-06-02,Kisumu Store,SKU0031,Product 93,1,12.51
S100003,2025-02-02,Thika.Branch,SKU0038,Product 13,1,16.66
S100004,2024-07-17,Nairobi_CBD,SKU0021,Product 48,1,11.24
S100005,2024-01-21,Kisumu Store,SKU0034,Product 91,5,10.94
S100006,2025-01-18,Nakuru,sku0022,PRODUCT 6  ,3,17.17
S100007,2025-05-04,Kisumu Store,SKU0038,Product 97,3,24.07
S100008,2025-07-26,Kisumu Store,SKU0054,Product 10,1,12.35
S100009,2024-02-12,Kisumu Store,SKU0015,Product 82,2,20.57
S100010,2025-05-08,Kisumu Store,SKU0031,PRODUCT 68  ,1,12.4
S100011,2025-05-28,Nakuru,SKU0035,Product 66,3,19.56
S100012,2024-03-26,Thika.Branch,SKU0045,Product 69,3,
S100013,2025-07-24,Mombasa-Store,SKU0046,Product 56,3,16.1
S100014,2025-01-25,Mombasa-Store,SKU0099,PRODUCT 48  ,2,13.14
S100015,2024-07-31,Thika.Branch,sku0048,Product 30,5,13.51
S100016,2025-03-22,Thika.Branch,SKU0090,Product 12,2,19.91
S100017,2024-02-13,Thika.Branch,SKU0095,Product 74,2,12.9
S100018,2024-06-26,Mombasa-Store,SKU0011,Product 31,3,16.19
S100019,2024-11-02,Nairobi_CBD,SKU0073,Product 47,1,12.53
S100020,2024-10-23,Nakuru,SKU0004,Product 64,2,11.79
S100021,2024-08-25,Nakuru,sku0098,Product 68,4,14.65
S100022,2025-01-21,Nakuru,SKU0004,Product 30,2,14.91
S100023,2025-04-30,Mombasa-Store,SKU0014,Product 74,3,13.28
S100024,2024-09-16,Nairobi_CBD,SKU0075,Product 38,2,14.78
S100025,2024-01-16,Mombasa-Store,SKU0009,Product 88,4,12.12
S100026,2024-04-11,Thika.Branch,SKU0023,Product 48,3,15.11
S100027,2025-06-20,Thika.Branch,SKU0010,PRODUCT 15  ,3,16.87
S100028,2024-08-14,Nakuru,SKU0038,Product 46,1,13.12
S100029,2025-03-09,Nairobi_CBD,SKU0087,PRODUCT 22  ,3,16.79
S100030,2025-04-01,Kisumu Store,SKU0082,Product 2,1,13.38
S100031,2024-10-03,Thika.Branch,SKU0013,Product 77,4,13.66
S100032,2025-06-29,Nairobi_CBD,SKU0037,Product 49,1,11.72
S100033,2024-10-05,Nairobi_CBD,SKU0068,Product 27,3,12.8
S100034,2024-09-28,Kisumu Store,SKU0078,Product 92,4,11.19
S100035,2025-04-27,Kisumu Store,SKU0061,Product 56,1,10.68
S100036,2024-05-03,Nakuru,SKU0063,Product 36,2,11.92
S100037,2024-07-09,Nakuru,SKU0038,Product 45,2,13.29
S100038,2024-11-08,Nairobi_CBD,SKU0013,Product 2,3,14.97
S100039,2024-07-25,Nakuru,SKU0083,Product 3,5,11.96
S100040,2025-07-03,Kisumu Store,SKU0076,Product 70,4,
S100041,2025-06-30,Thika.Branch,SKU0037,Product 79,2,15.87
S100042,2024-03-23,Nakuru,SKU0088,Product 46,4,12.03
